"Nastale koli?ine komunalnih odpadkov in ravnanje z njimi (tone) po:"
"SEZNAM ODPADKOV, MERITVE , LETO"

"Seznam odpadkov - SKUPAJ"
" ";"Nastala kolicina in skladiscenje - SKUPAJ"
" ";" ";"2016";15418
" ";" ";"2017";16706
" ";"Kolicina oddana v obdelavo"
" ";" ";"2002";4472
" ";" ";"2003";6802
" ";" ";"2004";5182
" ";" ";"2005";3271
" ";" ";"2006";1674
" ";" ";"2007";1275
" ";" ";"2008";1908
" ";" ";"2009";3907
" ";" ";"2010";13953
" ";" ";"2011";27873
" ";" ";"2012";49239
" ";" ";"2013";74671
" ";" ";"2014";89854
" ";" ";"2015";94586
" ";" ";"2016";85261
" ";" ";"2017";93051
" ";"Kolicina poslana v tujino"
" ";" ";"2002";-
" ";" ";"2003";-
" ";" ";"2004";-
" ";" ";"2005";-
" ";" ";"2006";-
" ";" ";"2007";-
" ";" ";"2008";-
" ";" ";"2009";-
" ";" ";"2010";-
" ";" ";"2011";-
" ";" ";"2012";-
" ";" ";"2013";-
" ";" ";"2014";-
" ";" ";"2015";0
" ";" ";"2016";-
" ";" ";"2017";-
"150107 Steklena embalaza"
" ";"Nastala kolicina in skladiscenje - SKUPAJ"
" ";" ";"2002";1798
" ";" ";"2003";3452
" ";" ";"2004";6141
" ";" ";"2005";7908
" ";" ";"2006";10048
" ";" ";"2007";10662
" ";" ";"2008";13838
" ";" ";"2009";16628
" ";" ";"2010";21484
" ";" ";"2011";23333
" ";" ";"2012";25306
" ";" ";"2013";34137
" ";" ";"2014";41358
" ";" ";"2015";44524
" ";" ";"2016";33974
" ";" ";"2017";34827
" ";"Nastala kolicina v gospodinjstvih"
" ";" ";"2002";-
" ";" ";"2003";-
" ";" ";"2004";-
" ";" ";"2005";-
" ";" ";"2006";-
" ";" ";"2007";-
" ";" ";"2008";-
" ";" ";"2009";15519
" ";" ";"2010";-
" ";" ";"2011";-
" ";" ";"2012";-
" ";" ";"2013";24756
" ";" ";"2014";26249
" ";" ";"2015";28016
" ";" ";"2016";26614
" ";" ";"2017";27518
" ";"Nastala kolicina v proizvodnih in storitvenih dej."
" ";" ";"2002";-
" ";" ";"2003";-
" ";" ";"2004";-
" ";" ";"2005";-
" ";" ";"2006";-
" ";" ";"2007";-
" ";" ";"2008";-
" ";" ";"2009";1097
" ";" ";"2010";-
" ";" ";"2011";-
" ";" ";"2012";-
" ";" ";"2013";2221
" ";" ";"2014";2243
" ";" ";"2015";16291
" ";" ";"2016";6879
" ";" ";"2017";6964
" ";"Kolicina oddana v obdelavo"
" ";" ";"2002";1709
" ";" ";"2003";3452
" ";" ";"2004";6141
" ";" ";"2005";7883
" ";" ";"2006";9748
" ";" ";"2007";10578
" ";" ";"2008";13741
" ";" ";"2009";16521
" ";" ";"2010";21048
" ";" ";"2011";23293
" ";" ";"2012";24642
" ";" ";"2013";28285
" ";" ";"2014";32336
" ";" ";"2015";32605
" ";" ";"2016";32765
" ";" ";"2017";33606
" ";"Kolicina poslana v tujino"
" ";" ";"2002";88
" ";" ";"2003";-
" ";" ";"2004";-
" ";" ";"2005";-
" ";" ";"2006";-
" ";" ";"2007";-
" ";" ";"2008";-
" ";" ";"2009";-
" ";" ";"2010";360
" ";" ";"2011";-
" ";" ";"2012";-
" ";" ";"2013";3455
" ";" ";"2014";8682
" ";" ";"2015";11351
" ";" ";"2016";964
" ";" ";"2017";756
"150109 Embalaza iz tekstila"
" ";"Nastala kolicina in skladiscenje - SKUPAJ"
" ";" ";"2002";20
" ";" ";"2003";26
" ";" ";"2004";1
" ";" ";"2005";2
" ";" ";"2006";3
" ";" ";"2007";1
" ";" ";"2008";-
" ";" ";"2009";-
" ";" ";"2010";-
" ";" ";"2011";0
" ";" ";"2012";-
" ";" ";"2013";-
" ";" ";"2014";91
" ";" ";"2015";3
" ";" ";"2016";93
" ";" ";"2017";83
" ";"Nastala kolicina v gospodinjstvih"
" ";" ";"2002";-
" ";" ";"2003";-
" ";" ";"2004";-
" ";" ";"2005";-
" ";" ";"2006";-
" ";" ";"2007";-
" ";" ";"2008";-
" ";" ";"2009";-
" ";" ";"2010";-
" ";" ";"2011";-
" ";" ";"2012";-
" ";" ";"2013";-
" ";" ";"2014";-
" ";" ";"2015";-
" ";" ";"2016";-
" ";" ";"2017";-
" ";"Nastala kolicina v proizvodnih in storitvenih dej."
" ";" ";"2002";-
" ";" ";"2003";-
" ";" ";"2004";-
" ";" ";"2005";-
" ";" ";"2006";-
" ";" ";"2007";-
" ";" ";"2008";-
" ";" ";"2009";-
" ";" ";"2010";-
" ";" ";"2011";-
" ";" ";"2012";-
" ";" ";"2013";-
" ";" ";"2014";-
" ";" ";"2015";3
" ";" ";"2016";93
" ";" ";"2017";83
" ";"Kolicina oddana v obdelavo"
" ";" ";"2002";20
" ";" ";"2003";26
" ";" ";"2004";1
" ";" ";"2005";-
" ";" ";"2006";3
" ";" ";"2007";1
" ";" ";"2008";-
" ";" ";"2009";-
" ";" ";"2010";-
" ";" ";"2011";0
" ";" ";"2012";-
" ";" ";"2013";-
" ";" ";"2014";91
" ";" ";"2015";3
" ";" ";"2016";90
" ";" ";"2017";83
" ";"Kolicina poslana v tujino"
" ";" ";"2002";-
" ";" ";"2003";-
" ";" ";"2004";-
" ";" ";"2005";2
" ";" ";"2006";-
" ";" ";"2007";-
" ";" ";"2008";-
" ";" ";"2009";-
" ";" ";"2010";-
" ";" ";"2011";-
" ";" ";"2012";-
" ";" ";"2013";-
" ";" ";"2014";-
" ";" ";"2015";-
" ";" ";"2016";3
" ";" ";"2017";-
"150110 Embalaza ones. z nevarnimi snovmi"
" ";"Nastala kolicina in skladiscenje - SKUPAJ"
" ";" ";"2002";103
" ";" ";"2003";101
" ";" ";"2004";76
" ";" ";"2005";73
" ";" ";"2006";95
" ";" ";"2007";107
" ";" ";"2008";206
" ";" ";"2009";127
" ";" ";"2010";145
" ";" ";"2011";94
" ";" ";"2012";103
" ";" ";"2013";692
" ";" ";"2014";1508
" ";" ";"2015";1172
" ";" ";"2016";1010
" ";" ";"2017";1222
" ";"Nastala kolicina v gospodinjstvih"
" ";" ";"2002";-
" ";" ";"2003";-
" ";" ";"2004";-
" ";" ";"2005";-
" ";" ";"2006";-
" ";" ";"2007";-
" ";" ";"2008";-
" ";" ";"2009";114
" ";" ";"2010";-
" ";" ";"2011";-
" ";" ";"2012";-
" ";" ";"2013";45
" ";" ";"2014";33
" ";" ";"2015";34
" ";" ";"2016";23
" ";" ";"2017";28
" ";"Nastala kolicina v proizvodnih in storitvenih dej."
" ";" ";"2002";-
" ";" ";"2003";-
" ";" ";"2004";-
" ";" ";"2005";-
" ";" ";"2006";-
" ";" ";"2007";-
" ";" ";"2008";-
" ";" ";"2009";14
" ";" ";"2010";-
" ";" ";"2011";-
" ";" ";"2012";-
" ";" ";"2013";31
" ";" ";"2014";60
" ";" ";"2015";1132
" ";" ";"2016";981
" ";" ";"2017";1093
" ";"Kolicina oddana v obdelavo"
" ";" ";"2002";103
" ";" ";"2003";101
" ";" ";"2004";76
" ";" ";"2005";73
" ";" ";"2006";95
" ";" ";"2007";107
" ";" ";"2008";205
" ";" ";"2009";124
" ";" ";"2010";137
" ";" ";"2011";85
" ";" ";"2012";96
" ";" ";"2013";525
" ";" ";"2014";1309
" ";" ";"2015";1114
" ";" ";"2016";963
" ";" ";"2017";1133
" ";"Kolicina poslana v tujino"
" ";" ";"2002";-
" ";" ";"2003";-
" ";" ";"2004";-
" ";" ";"2005";-
" ";" ";"2006";-
" ";" ";"2007";-
" ";" ";"2008";-
" ";" ";"2009";-
" ";" ";"2010";-
" ";" ";"2011";-
" ";" ";"2012";-
" ";" ";"2013";146
" ";" ";"2014";128
" ";" ";"2015";13
" ";" ";"2016";-
" ";" ";"2017";-
"150111 Kovinska emb. z nev. trdnim oklepom"
" ";"Nastala kolicina in skladiscenje - SKUPAJ"
" ";" ";"2002";8
" ";" ";"2003";7
" ";" ";"2004";6
" ";" ";"2005";5
" ";" ";"2006";3
" ";" ";"2007";3
" ";" ";"2008";5
" ";" ";"2009";7
" ";" ";"2010";12
" ";" ";"2011";17
" ";" ";"2012";23
" ";" ";"2013";29
" ";" ";"2014";48
" ";" ";"2015";473
" ";" ";"2016";46
" ";" ";"2017";35
" ";"Nastala kolicina v gospodinjstvih"
" ";" ";"2002";-
" ";" ";"2003";-
" ";" ";"2004";-
" ";" ";"2005";-
" ";" ";"2006";-
" ";" ";"2007";-
" ";" ";"2008";-
" ";" ";"2009";7
" ";" ";"2010";-
" ";" ";"2011";-
" ";" ";"2012";-
" ";" ";"2013";21
" ";" ";"2014";22
" ";" ";"2015";398
" ";" ";"2016";25
" ";" ";"2017";20
" ";"Nastala kolicina v proizvodnih in storitvenih dej."
" ";" ";"2002";-
" ";" ";"2003";-
" ";" ";"2004";-
" ";" ";"2005";-
" ";" ";"2006";-
" ";" ";"2007";-
" ";" ";"2008";-
" ";" ";"2009";0
" ";" ";"2010";-
" ";" ";"2011";-
" ";" ";"2012";-
" ";" ";"2013";0
" ";" ";"2014";0
" ";" ";"2015";60
" ";" ";"2016";20
" ";" ";"2017";15
" ";"Kolicina oddana v obdelavo"
" ";" ";"2002";8
" ";" ";"2003";7
" ";" ";"2004";6
" ";" ";"2005";5
" ";" ";"2006";3
" ";" ";"2007";3
" ";" ";"2008";5
" ";" ";"2009";8
" ";" ";"2010";11
" ";" ";"2011";17
" ";" ";"2012";23
" ";" ";"2013";28
" ";" ";"2014";47
" ";" ";"2015";401
" ";" ";"2016";46
" ";" ";"2017";30
" ";"Kolicina poslana v tujino"
" ";" ";"2002";-
" ";" ";"2003";-
" ";" ";"2004";-
" ";" ";"2005";-
" ";" ";"2006";-
" ";" ";"2007";-
" ";" ";"2008";-
" ";" ";"2009";-
" ";" ";"2010";-
" ";" ";"2011";-
" ";" ";"2012";-
" ";" ";"2013";-
" ";" ";"2014";-
" ";" ";"2015";66
" ";" ";"2016";-
" ";" ";"2017";-
"2001 LOCENO ZBRANE FRAKCIJE"
" ";"Nastala kolicina in skladiscenje - SKUPAJ"
" ";" ";"2002";40847
" ";" ";"2003";73230
" ";" ";"2004";42458
" ";" ";"2005";46689
" ";" ";"2006";55377
" ";" ";"2007";63772
