"Kolièine nastalih, zbranih in odloženih komunalnih odpadkov po:"
"KOHEZIJSKA/STATISTIÈNA REGIJA, LETO , KAZALNIK"

"SLOVENIJA"
" ";"2010"
" ";" ";"Nastali komunalni odpadki (tone)";61721
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";45334
" ";" ";"Odloženi komunalni odpadki (tone)";5654
"Obalno-kraška"
" ";"2010"
" ";" ";"Nastali komunalni odpadki (tone)";-
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";51241
" ";" ";"Odloženi komunalni odpadki (tone)";40566
" ";"2011"
" ";" ";"Nastali komunalni odpadki (tone)";-
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";44575
" ";" ";"Odloženi komunalni odpadki (tone)";26521
" ";"2012"
" ";" ";"Nastali komunalni odpadki (tone)";47044
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";43113
" ";" ";"Odloženi komunalni odpadki (tone)";24362
" ";"2013"
" ";" ";"Nastali komunalni odpadki (tone)";53574
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";43032
" ";" ";"Odloženi komunalni odpadki (tone)";18282
" ";"2014"
" ";" ";"Nastali komunalni odpadki (tone)";56739
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";44433
" ";" ";"Odloženi komunalni odpadki (tone)";17304
" ";"2015"
" ";" ";"Nastali komunalni odpadki (tone)";55847
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";40554
" ";" ";"Odloženi komunalni odpadki (tone)";14820
" ";"2016"
" ";" ";"Nastali komunalni odpadki (tone)";61339
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";46760
" ";" ";"Odloženi komunalni odpadki (tone)";2146
" ";"2017"
" ";" ";"Nastali komunalni odpadki (tone)";64344
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";48509
" ";" ";"Odloženi komunalni odpadki (tone)";1917

"Vir: Agencija Republike Slovenije za okolje "
" "
"Od leta 2012 so zaradi spremembe metodologije podatki o nastalih "
"kolièinah komunalnih odpadkov dopolnjeni s podatki o kolièinah "
"komunalnih odpadkov, ki so bili zbrani mimo obvezne obèinske "
"gospodarske javne službe zbiranja komunalnih odpadkov.  Od leta 2013 "
"pa so dodane še kolièine komunalnih odpadkov, ki so jih proizvajalci "
"odpadkov zaèasno skladišèili ali izvozili v tujino. "
" "
"Dne 30. 10. 2018 so bili podatki o komunalnih odpadkih za leti 2017 "
"in 2016 popravljeni. Za nevšeènosti se opravièujemo in prosimo za "
"razumevanje. "
" "

"Povezane vsebine: "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=8272 target=_blank) Metodološka pojasnila "

"Veèje kolièine odloženih odpadkov v 2017 so posledica odlaganja "
"odpadkov iz zaèasnega skladišèa; ti odpadki so dejansko nastali že v "
"2016. "

"Podatki o odloženih komunalnih odpadkih po statistiènih "
"regijah za leto 2016, so zaradi nepopolne porazdelitve po "
