"TIME","GEO","UNIT","HAZARD","WASTE","NACE_R2","Value"
"2004","Austria","Tonne","Non-hazardous","Textile wastes","All NACE activities plus households","138,121"
"2004","Poland","Tonne","Hazardous and non-hazardous - Total","Total waste","All NACE activities plus households","137,478,449"
"2004","Poland","Tonne","Hazardous and non-hazardous - Total","Chemical wastes","All NACE activities plus households","3,917,762"
"2004","Poland","Tonne","Hazardous and non-hazardous - Total","Plastic wastes","All NACE activities plus households","195,685"
"2004","Poland","Tonne","Hazardous and non-hazardous - Total","Textile wastes","All NACE activities plus households","79,402"
"2004","Poland","Tonne","Hazardous","Total waste","All NACE activities plus households","1,612,213"
"2004","Poland","Tonne","Hazardous","Chemical wastes","All NACE activities plus households","625,378"
"2004","Poland","Tonne","Hazardous","Plastic wastes","All NACE activities plus households",":"
"2004","Poland","Tonne","Hazardous","Textile wastes","All NACE activities plus households",":"
"2004","Poland","Tonne","Non-hazardous","Total waste","All NACE activities plus households","135,866,236"
"2004","Poland","Tonne","Non-hazardous","Chemical wastes","All NACE activities plus households","3,292,384"
"2004","Poland","Tonne","Non-hazardous","Plastic wastes","All NACE activities plus households","195,685"
"2004","Poland","Tonne","Non-hazardous","Textile wastes","All NACE activities plus households","79,402"
"2004","Portugal","Tonne","Hazardous and non-hazardous - Total","Total waste","All NACE activities plus households","29,317,295"
"2004","Portugal","Tonne","Hazardous and non-hazardous - Total","Chemical wastes","All NACE activities plus households","1,179,462"
"2004","Portugal","Tonne","Hazardous and non-hazardous - Total","Plastic wastes","All NACE activities plus households","234,411"
"2004","Portugal","Tonne","Hazardous and non-hazardous - Total","Textile wastes","All NACE activities plus households","963,633"
"2004","Portugal","Tonne","Hazardous","Total waste","All NACE activities plus households","2,263,203"
"2004","Portugal","Tonne","Hazardous","Chemical wastes","All NACE activities plus households","212,789"
"2004","Portugal","Tonne","Hazardous","Plastic wastes","All NACE activities plus households",":"
"2004","Portugal","Tonne","Hazardous","Textile wastes","All NACE activities plus households",":"
"2004","Portugal","Tonne","Non-hazardous","Total waste","All NACE activities plus households","27,054,092"
"2004","Portugal","Tonne","Non-hazardous","Chemical wastes","All NACE activities plus households","966,673"
"2004","Portugal","Tonne","Non-hazardous","Plastic wastes","All NACE activities plus households","234,411"
"2004","Portugal","Tonne","Non-hazardous","Textile wastes","All NACE activities plus households","963,633"
"2004","Romania","Tonne","Hazardous and non-hazardous - Total","Total waste","All NACE activities plus households","369,300,408"
"2004","Romania","Tonne","Hazardous and non-hazardous - Total","Chemical wastes","All NACE activities plus households","1,069,382"
"2004","Romania","Tonne","Hazardous and non-hazardous - Total","Plastic wastes","All NACE activities plus households","190,688"
"2004","Romania","Tonne","Hazardous and non-hazardous - Total","Textile wastes","All NACE activities plus households","261,032"
"2004","Romania","Tonne","Hazardous","Total waste","All NACE activities plus households","2,293,510"
"2004","Romania","Tonne","Hazardous","Chemical wastes","All NACE activities plus households","79,638"
"2004","Romania","Tonne","Hazardous","Plastic wastes","All NACE activities plus households",":"
"2004","Romania","Tonne","Hazardous","Textile wastes","All NACE activities plus households",":"
"2004","Romania","Tonne","Non-hazardous","Total waste","All NACE activities plus households","367,006,898"
"2004","Romania","Tonne","Non-hazardous","Chemical wastes","All NACE activities plus households","989,744"
"2004","Romania","Tonne","Non-hazardous","Plastic wastes","All NACE activities plus households","190,688"
"2004","Romania","Tonne","Non-hazardous","Textile wastes","All NACE activities plus households","261,032"
"2004","Slovenia","Tonne","Hazardous and non-hazardous - Total","Total waste","All NACE activities plus households","5,770,505"
"2004","Slovenia","Tonne","Hazardous and non-hazardous - Total","Chemical wastes","All NACE activities plus households","396,352"
"2004","Slovenia","Tonne","Hazardous and non-hazardous - Total","Plastic wastes","All NACE activities plus households","38,289"
"2004","Slovenia","Tonne","Hazardous and non-hazardous - Total","Textile wastes","All NACE activities plus households","12,459"
"2004","Slovenia","Tonne","Hazardous","Total waste","All NACE activities plus households","107,906"
"2004","Slovenia","Tonne","Hazardous","Chemical wastes","All NACE activities plus households","26,804"
"2004","Slovenia","Tonne","Hazardous","Plastic wastes","All NACE activities plus households",":"
